Name,Mobile,Locality,Budget,BHKtype,Amenities,SFT
Sunrise Apartments,7095288950,Madhapur,25000,2 BHK,"Parking;Lift;Security;Gym",1200
Green Valley Residency,7095288950,Gachibowli,30000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool",1400
Tech Park Homes,7095288950,Hitech City,20000,1 BHK,"Parking;Lift;Security",900
Elite Towers,7095288950,Banjara Hills,35000,3 BHK,"Parking;Lift;Security;Gym;Swimming Pool;Power Backup",1800
Modern Heights,7095288950,Jubilee Hills,22000,1 BHK,"Parking;Lift;Security",950
Luxury Living,7095288950,Kondapur,28000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1300
Comfort Homes,7095288950,Manikonda,18000,1 BHK,"Parking;Lift",850
Premium Residency,7095288950,Financial District,32000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool",1500
Smart Apartments,7095288950,Raheja Mindspace,24000,2 BHK,"Parking;Lift;Security;Power Backup",1100
Grand Towers,7095288950,DLF Cyber City,30000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool",1450
City View Apartments,7095288950,Whitefield,22000,1 BHK,"Parking;Lift;Security;Power Backup",920
Serene Homes,7095288950,Secunderabad,26000,2 BHK,"Parking;Lift;Security;Gym",1250
Peaceful Residency,7095288950,Begumpet,19000,1 BHK,"Parking;Lift",880
Harmony Apartments,7095288950,Panjagutta,27000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1280
Tranquil Towers,7095288950,Abids,21000,1 BHK,"Parking;Lift;Security",910
Blissful Homes,7095288950,Hyderguda,25000,2 BHK,"Parking;Lift;Security;Gym",1220
Joyful Residency,7095288950,Basheerbagh,23000,2 BHK,"Parking;Lift;Power Backup",1150
Happy Apartments,7095288950,Malakpet,20000,1 BHK,"Parking;Lift",890
Cheerful Homes,7095288950,Charminar,18000,1 BHK,Parking,860
Radiant Towers,7095288950,Mehdipatnam,28000,2 BHK,"Parking;Lift;Security;Gym",1320
Bright Residency,7095288950,Tolichowki,24000,2 BHK,"Parking;Lift;Security;Power Backup",1180
Shining Apartments,7095288950,Attapur,22000,1 BHK,"Parking;Lift;Security",930
Glorious Homes,7095288950,Manikonda,30000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool",1420
Majestic Towers,7095288950,Kukatpally,26000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1260
Royal Residency,7095288950,Miyapur,25000,2 BHK,"Parking;Lift;Security;Gym",1230
Regal Apartments,7095288950,Bachupally,19000,1 BHK,"Parking;Lift",870
Noble Homes,7095288950,Alwal,23000,2 BHK,"Parking;Lift;Security;Power Backup",1160
Elegant Towers,7095288950,Secunderabad,27000,2 BHK,"Parking;Lift;Security;Gym",1290
Classic Residency,7095288950,Begumpet,24000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1200
Vintage Apartments,7095288950,Panjagutta,22000,1 BHK,"Parking;Lift;Security",940
Heritage Homes,7095288950,Abids,28000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool",1380
Traditional Towers,7095288950,Hyderguda,26000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1270
Contemporary Residency,7095288950,Basheerbagh,25000,2 BHK,"Parking;Lift;Security;Gym",1240
Futuristic Apartments,7095288950,Malakpet,21000,1 BHK,"Parking;Lift;Security",960
Innovative Homes,7095288950,Charminar,23000,2 BHK,"Parking;Lift;Security;Gym",1170
Creative Towers,7095288950,Mehdipatnam,27000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool;Power Backup",1310
Artistic Residency,7095288950,Tolichowki,24000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1190
Colorful Apartments,7095288950,Attapur,22000,1 BHK,"Parking;Lift",925
Vibrant Homes,7095288950,Manikonda,30000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool",1430
Dynamic Towers,7095288950,Kukatpally,28000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1340
Energetic Residency,7095288950,Miyapur,25000,2 BHK,"Parking;Lift;Security;Gym",1210
Active Apartments,7095288950,Bachupally,20000,1 BHK,"Parking;Lift;Security",900
Lively Homes,7095288950,Alwal,26000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1250
Spirited Towers,7095288950,Secunderabad,24000,2 BHK,"Parking;Lift;Security;Gym",1180
Enthusiastic Residency,7095288950,Begumpet,22000,1 BHK,"Parking;Lift",935
Passionate Apartments,7095288950,Panjagutta,29000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool",1360
Dedicated Homes,7095288950,Abids,25000,2 BHK,"Parking;Lift;Security;Gym;Power Backup",1220
Committed Towers,7095288950,Hyderguda,23000,2 BHK,"Parking;Lift;Security;Gym",1150
Focused Residency,7095288950,Basheerbagh,27000,2 BHK,"Parking;Lift;Security;Gym;Swimming Pool",1300

